ダウンロードした時刻：2020/08/08 18:26:14

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均湿度(％),平均湿度(％),平均湿度(％),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間)
,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2015/1/1,0.0,0,8,1,41,8,1,3.8,8,1,1.3,0,8,1
2015/1/2,0,1,8,1,41,8,1,5.0,8,1,6.0,0,8,1
2015/1/3,0,1,8,1,42,8,1,0.0,8,1,8.9,0,8,1
2015/1/4,0,1,8,1,51,8,1,5.3,8,1,6.0,0,8,1
2015/1/5,0,1,8,1,56,8,1,2.5,8,1,8.9,0,8,1
2015/1/6,6.5,0,8,1,64,8,1,8.0,8,1,0.2,0,8,1
2015/1/7,0,1,8,1,35,8,1,4.8,8,1,3.3,0,8,1
2015/1/8,0,1,8,1,33,8,1,0.0,8,1,8.9,0,8,1
2015/1/9,0,1,8,1,31,8,1,0.0,8,1,8.9,0,8,1
2015/1/10,0,1,8,1,31,8,1,0.0,8,1,9.1,0,8,1
2015/1/11,0,1,8,1,46,8,1,0.8,8,1,9.1,0,8,1
2015/1/12,0,1,8,1,39,8,1,0.0,8,1,9.1,0,8,1
2015/1/13,0,1,8,1,38,8,1,0.5,8,1,9.1,0,8,1
2015/1/14,0,1,8,1,50,8,1,5.0,8,1,5.9,0,8,1
2015/1/15,35.5,0,8,1,76,8,1,10.0,8,1,0.0,0,8,1
2015/1/16,0.0,0,8,1,54,8,1,6.8,8,1,6.9,0,8,1
2015/1/17,0.0,0,8,1,56,8,1,2.8,8,1,6.9,0,8,1
2015/1/18,0,1,8,1,36,8,1,1.5,8,1,9.3,0,8,1
2015/1/19,0,1,8,1,44,8,1,1.8,8,1,9.0,0,8,1
2015/1/20,0,1,8,1,42,8,1,0.0,8,1,9.2,0,8,1
2015/1/21,4.0,0,8,1,69,8,1,10.0,8,1,0.0,0,8,1
2015/1/22,7.5,0,8,1,91,8,1,10.0,8,1,0.0,0,8,1
2015/1/23,7.5,0,8,1,63,8,1,5.0,8,1,6.8,0,8,1
2015/1/24,0,1,8,1,47,8,1,5.0,8,1,0.4,0,8,1
2015/1/25,0,1,8,1,59,8,1,5.0,8,1,7.1,0,8,1
2015/1/26,0.5,0,8,1,74,8,1,10.0,8,1,4.4,0,8,1
2015/1/27,14.5,0,8,1,71,8,1,9.8,8,1,5.1,0,8,1
2015/1/28,0.0,0,8,1,41,8,1,7.0,8,1,6.2,0,8,1
2015/1/29,0,1,8,1,42,8,1,5.0,8,1,6.6,0,8,1
2015/1/30,16.5,0,8,1,88,8,1,10.0,8,1,0.0,0,8,1
2015/1/31,0,1,8,1,56,8,1,0.8,8,1,9.4,0,8,1
2015/2/1,0,1,8,1,32,8,1,0.0,8,1,9.6,0,8,1
2015/2/2,0,1,8,1,34,8,1,1.3,8,1,9.6,0,8,1
2015/2/3,0,1,8,1,42,8,1,2.3,8,1,9.4,0,8,1
2015/2/4,0,1,8,1,49,8,1,8.3,8,1,7.6,0,8,1
2015/2/5,9.0,0,8,1,87,8,1,10.0,8,1,0.0,0,8,1
2015/2/6,0.0,0,8,1,60,8,1,0.3,8,1,8.9,0,8,1
2015/2/7,1.5,0,8,1,60,8,1,7.5,8,1,3.6,0,8,1
2015/2/8,6.0,0,8,1,87,8,1,5.0,8,1,0.3,0,8,1
2015/2/9,0,1,8,1,49,8,1,7.3,8,1,1.7,0,8,1
2015/2/10,0,1,8,1,49,8,1,0.0,8,1,9.6,0,8,1
2015/2/11,0,1,8,1,54,8,1,3.0,8,1,9.7,0,8,1
2015/2/12,0,1,8,1,56,8,1,2.5,8,1,9.5,0,8,1
2015/2/13,0,1,8,1,46,8,1,5.8,8,1,6.3,0,8,1
2015/2/14,0,1,8,1,29,8,1,0.3,8,1,9.9,0,8,1
2015/2/15,0,1,8,1,41,8,1,0.0,8,1,9.8,0,8,1
2015/2/16,0,1,8,1,33,8,1,6.8,8,1,9.8,0,8,1
2015/2/17,3.0,0,8,1,77,8,1,10.0,8,1,0.0,0,8,1
2015/2/18,10.5,0,8,1,93,8,1,10.0,8,1,0.0,0,8,1
2015/2/19,0,1,8,1,72,8,1,4.8,8,1,9.2,0,8,1
2015/2/20,0.0,0,8,1,66,8,1,2.0,8,1,7.9,0,8,1
2015/2/21,0,1,8,1,61,8,1,4.5,8,1,9.2,0,8,1
2015/2/22,1.5,0,8,1,77,8,1,10.0,8,1,0.0,0,8,1
2015/2/23,16.0,0,8,1,84,8,1,9.8,8,1,4.9,0,8,1
2015/2/24,0.0,0,8,1,74,8,1,10.0,8,1,0.0,0,8,1
2015/2/25,0.0,0,8,1,58,8,1,10.0,8,1,2.8,0,8,1
2015/2/26,14.5,0,8,1,85,8,1,10.0,8,1,0.0,0,8,1
